id,address,locality,city,latitude,longitude,zipcode,country_id,locality_verbose,city_id
3953,"305 & 306, 3rd Floor, Sahara Mall, MG Road, Gurgaon","Sahara Mall, MG Road",Gurgaon,28.4797207,77.0865747,0,1,"Sahara Mall, MG Road, Gurgaon",1
305682,"Global Business Park, Ground Floor, Tower B, MG Road, Gurgaon",MG Road,Gurgaon,28.4806694,77.1026087,,1,"MG Road, Gurgaon",1
1599,"3rd Floor, Food Court, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4803301,77.0803248,0,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
2064,"9, Food Court, 3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4803301,77.0803248,0,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
3855,"Lobby Level, Tower C, Global Business Park, MG Road, Gurgaon",MG Road,Gurgaon,28.4806041,77.1020768,0,1,"MG Road, Gurgaon",1
18276997,"Shop 219, 2nd Floor, DLF City Center Mall, MG Road, Gurgaon","DT City Centre Mall, MG Road",Gurgaon,28.4790754368,77.0807614177,122002,1,"DT City Centre Mall, MG Road, Gurgaon",1
303477,"Shop 4, Housing Board Complex, Saraswati Vihar, Chakarpur, MG Road, Gurgaon",MG Road,Gurgaon,28.4761607,77.0828835,,1,"MG Road, Gurgaon",1
18381233,"9 A, Food Court, 3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4802478,77.0801674,,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
310445,"2nd Floor, Opposite Metro Pillar 57, Shanti Complex, Sikandarpur Market, MG Road, Gurgaon",MG Road,Gurgaon,28.4821819,77.0963632,,1,"MG Road, Gurgaon",1
18198441,"Shop 1016, Maruti Vihar, Chakkarpur, MG Road, Gurgaon",MG Road,Gurgaon,28.4766191,77.0827529,,1,"MG Road, Gurgaon",1
